,team,year,points
0,mercedes,2012,205.632
1,mercedes,2013,250.352
2,mercedes,2014,329.48
3,mercedes,2015,467.4
4,mercedes,2016,343.108
5,mercedes,2017,365.0
6,mercedes,2018,400.0
7,mercedes,2019,425.0
8,mercedes,2020,430.0
9,red_bull,2012,231.336
10,red_bull,2013,368.48685
11,red_bull,2014,411.85
12,red_bull,2015,468.7
13,red_bull,2016,278.9136
14,red_bull,2017,280.0
15,red_bull,2018,310.0
16,red_bull,2019,335.0
17,red_bull,2020,345.05
18,ferrari,2012,308.448
19,ferrari,2013,391.175
20,ferrari,2014,411.85
21,ferrari,2015,418.0
22,ferrari,2016,427.2248
23,ferrari,2017,390.0
24,ferrari,2018,410.0
25,ferrari,2019,435.0
26,ferrari,2020,448.05
27,mclaren,2012,282.744
28,mclaren,2013,250.352
29,mclaren,2014,329.48
30,mclaren,2015,465.0
31,mclaren,2016,240.1756
32,mclaren,2017,205.0
33,mclaren,2018,220.0
34,mclaren,2019,250.0
35,mclaren,2020,257.5
36,alpine,2012,167.076
37,alpine,2013,203.411
38,alpine,2014,214.162
39,alpine,2015,139.1
40,alpine,2016,194.7968
41,alpine,2017,180.0
42,alpine,2018,195.0
43,alpine,2019,210.0
44,alpine,2020,216.3
45,alphatauri,2012,106.6716
46,alphatauri,2013,109.529
47,alphatauri,2014,164.74
48,alphatauri,2015,137.45
49,alphatauri,2016,129.4956
50,alphatauri,2017,135.0
51,alphatauri,2018,150.0
52,alphatauri,2019,155.0
53,alphatauri,2020,159.65
54,aston_martin,2012,115.668
55,aston_martin,2013,156.47
56,aston_martin,2014,164.74
57,aston_martin,2015,129.7
58,aston_martin,2016,116.214
59,aston_martin,2017,125.0
60,aston_martin,2018,125.0
61,aston_martin,2019,155.0
62,aston_martin,2020,159.65
63,williams,2012,167.076
64,williams,2013,140.823
65,williams,2014,164.74
66,williams,2015,186.4
67,williams,2016,136.1364
68,williams,2017,150.0
69,williams,2018,150.0
70,williams,2019,150.0
71,williams,2020,154.5
72,alfa,2012,115.668
73,alfa,2013,140.823
74,alfa,2014,164.74
75,alfa,2015,103.25
76,alfa,2016,122.8548
77,alfa,2017,125.0
78,alfa,2018,135.0
79,alfa,2019,155.0
80,alfa,2020,159.65
