,team,year,expenditure,totalexp,proptotalexp
0,mercedes,2012,205.632,1700.3196000000003,0.12093726379440664
1,mercedes,2013,250.352,2011.4218500000002,0.12446518864255153
2,mercedes,2014,329.48,2355.782,0.13986013986013987
3,mercedes,2015,467.4,2515.0,0.18584493041749503
4,mercedes,2016,343.108,1988.9196000000002,0.17250973845297718
5,mercedes,2017,365.0,1955.0,0.1867007672634271
6,mercedes,2018,400.0,2095.0,0.1909307875894988
7,mercedes,2019,425.0,2270.0,0.18722466960352424
8,mercedes,2020,430.0,2330.35,0.18452163838050079
9,red_bull,2012,231.336,1700.3196000000003,0.13605442176870747
10,red_bull,2013,368.48685,2011.4218500000002,0.18319719953325553
11,red_bull,2014,411.85,2355.782,0.17482517482517482
12,red_bull,2015,468.7,2515.0,0.18636182902584492
13,red_bull,2016,278.9136,1988.9196000000002,0.1402337228714524
14,red_bull,2017,280.0,1955.0,0.1432225063938619
15,red_bull,2018,310.0,2095.0,0.14797136038186157
16,red_bull,2019,335.0,2270.0,0.14757709251101322
17,red_bull,2020,345.05,2330.35,0.14806788679812047
18,ferrari,2012,308.448,1700.3196000000003,0.18140589569160995
19,ferrari,2013,391.175,2011.4218500000002,0.19447685725398675
20,ferrari,2014,411.85,2355.782,0.17482517482517482
21,ferrari,2015,418.0,2515.0,0.1662027833001988
22,ferrari,2016,427.2248,1988.9196000000002,0.21480244852531996
23,ferrari,2017,390.0,1955.0,0.19948849104859334
24,ferrari,2018,410.0,2095.0,0.1957040572792363
25,ferrari,2019,435.0,2270.0,0.19162995594713655
26,ferrari,2020,448.05,2330.35,0.19226725599158925
27,mclaren,2012,282.744,1700.3196000000003,0.16628873771730915
28,mclaren,2013,250.352,2011.4218500000002,0.12446518864255153
29,mclaren,2014,329.48,2355.782,0.13986013986013987
30,mclaren,2015,465.0,2515.0,0.1848906560636183
31,mclaren,2016,240.1756,1988.9196000000002,0.12075681691708402
32,mclaren,2017,205.0,1955.0,0.10485933503836317
33,mclaren,2018,220.0,2095.0,0.10501193317422435
34,mclaren,2019,250.0,2270.0,0.11013215859030837
35,mclaren,2020,257.5,2330.35,0.11049842298367199
36,alpine,2012,167.076,1700.3196000000003,0.09826152683295539
37,alpine,2013,203.411,2011.4218500000002,0.10112796577207311
38,alpine,2014,214.162,2355.782,0.09090909090909091
39,alpine,2015,139.1,2515.0,0.05530815109343936
40,alpine,2016,194.7968,1988.9196000000002,0.09794101279910962
41,alpine,2017,180.0,1955.0,0.09207161125319693
42,alpine,2018,195.0,2095.0,0.09307875894988067
43,alpine,2019,210.0,2270.0,0.09251101321585903
44,alpine,2020,216.3,2330.35,0.09281867530628447
45,alphatauri,2012,106.6716,1700.3196000000003,0.06273620559334844
46,alphatauri,2013,109.529,2011.4218500000002,0.05445352003111629
47,alphatauri,2014,164.74,2355.782,0.06993006993006994
48,alphatauri,2015,137.45,2515.0,0.0546520874751491
49,alphatauri,2016,129.4956,1988.9196000000002,0.06510851419031718
50,alphatauri,2017,135.0,1955.0,0.06905370843989769
51,alphatauri,2018,150.0,2095.0,0.07159904534606205
52,alphatauri,2019,155.0,2270.0,0.06828193832599119
53,alphatauri,2020,159.65,2330.35,0.06850902224987664
54,aston_martin,2012,115.668,1700.3196000000003,0.06802721088435373
55,aston_martin,2013,156.47,2011.4218500000002,0.0777907429015947
56,aston_martin,2014,164.74,2355.782,0.06993006993006994
57,aston_martin,2015,129.7,2515.0,0.05157057654075546
58,aston_martin,2016,116.214,1988.9196000000002,0.05843071786310517
59,aston_martin,2017,125.0,1955.0,0.0639386189258312
60,aston_martin,2018,125.0,2095.0,0.059665871121718374
61,aston_martin,2019,155.0,2270.0,0.06828193832599119
62,aston_martin,2020,159.65,2330.35,0.06850902224987664
63,williams,2012,167.076,1700.3196000000003,0.09826152683295539
64,williams,2013,140.823,2011.4218500000002,0.07001166861143523
65,williams,2014,164.74,2355.782,0.06993006993006994
66,williams,2015,186.4,2515.0,0.07411530815109345
67,williams,2016,136.1364,1988.9196000000002,0.06844741235392321
68,williams,2017,150.0,1955.0,0.07672634271099744
69,williams,2018,150.0,2095.0,0.07159904534606205
70,williams,2019,150.0,2270.0,0.06607929515418502
71,williams,2020,154.5,2330.35,0.06629905379020319
72,alfa,2012,115.668,1700.3196000000003,0.06802721088435373
73,alfa,2013,140.823,2011.4218500000002,0.07001166861143523
74,alfa,2014,164.74,2355.782,0.06993006993006994
75,alfa,2015,103.25,2515.0,0.041053677932405566
76,alfa,2016,122.8548,1988.9196000000002,0.06176961602671118
77,alfa,2017,125.0,1955.0,0.0639386189258312
78,alfa,2018,135.0,2095.0,0.06443914081145585
79,alfa,2019,155.0,2270.0,0.06828193832599119
80,alfa,2020,159.65,2330.35,0.06850902224987664
